仕業番号,仕業開始駅,仕業終了駅,便名,始発駅,終着駅,発時刻,着時刻,trip_id
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,16:28:30,16:46:00,平日_16時28分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,16:49:00,17:08:00,平日_16時49分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,17:13:30,17:31:00,平日_17時13分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,17:34:00,17:54:00,平日_17時34分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,17:58:30,18:16:00,平日_17時58分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,18:19:00,18:38:00,平日_18時19分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,18:43:30,19:01:00,平日_18時43分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,19:06:30,19:26:00,平日_19時06分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,19:31:00,19:49:00,平日_19時31分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,19:54:00,20:13:00,平日_19時54分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋車庫（はりまや橋 経由）,高知駅前,桟橋車庫前,20:21:00,20:36:30,平日_20時21分_系統16170
,,,,,,,,
6仕業,鏡川橋,鏡川橋,ごめん（はりまや橋・文珠通・領石通 経由）,鏡川橋,後免町,06:01:30,06:55:00,平日_06時01分_系統11010
6仕業,鏡川橋,鏡川橋,鏡川橋（はりまや橋 経由）,後免町,鏡川橋,07:00:00,07:57:00,平日_07時00分_系統1110
6仕業,鏡川橋,鏡川橋,文珠通（はりまや橋 経由）,鏡川橋,文珠通,08:01:30,08:35:00,平日_08時01分_系統11060
6仕業,鏡川橋,鏡川橋,鏡川橋（はりまや橋 経由）,文珠通,鏡川橋,08:44:00,09:19:30,平日_08時44分_系統6110
6仕業,鏡川橋,鏡川橋,文珠通（はりまや橋 経由）,鏡川橋,文珠通,09:21:30,09:55:00,平日_09時21分_系統11060
6仕業,鏡川橋,鏡川橋,鏡川橋（はりまや橋 経由）,文珠通,鏡川橋,10:00:00,10:34:00,平日_10時00分_系統6110
6仕業,鏡川橋,鏡川橋,文珠通（はりまや橋 経由）,鏡川橋,文珠通,10:41:30,11:15:00,平日_10時41分_系統11060
6仕業,鏡川橋,鏡川橋,鏡川橋（はりまや橋 経由）,文珠通,鏡川橋,11:22:30,11:56:30,平日_11時22分_系統6110
6仕業,鏡川橋,鏡川橋,文珠通（はりまや橋 経由）,鏡川橋,文珠通,11:56:30,12:30:00,平日_11時56分_系統11060
6仕業,鏡川橋,鏡川橋,鏡川橋（はりまや橋 経由）,文珠通,鏡川橋,12:30:00,13:04:00,平日_12時30分_系統6110
6仕業,鏡川橋,鏡川橋,ごめん（はりまや橋・文珠通・領石通 経由）,鏡川橋,後免町,13:09:00,14:04:30,平日_13時09分_系統11010
6仕業,鏡川橋,鏡川橋,鏡川橋（はりまや橋 経由）,後免町,鏡川橋,14:14:30,15:11:30,平日_14時14分_系統1110
6仕業,鏡川橋,鏡川橋,文珠通（はりまや橋 経由）,鏡川橋,文珠通,15:11:30,15:45:00,平日_15時11分_系統11060
6仕業,鏡川橋,鏡川橋,いの（はりまや橋・鏡川橋・朝倉 経由）,文珠通,伊野,15:52:00,16:59:00,平日_15時52分_系統6150
6仕業,鏡川橋,鏡川橋,文珠通（はりまや橋 経由）,伊野,文珠通,17:04:00,18:07:30,平日_17時04分_系統15060
6仕業,鏡川橋,鏡川橋,いの（はりまや橋・鏡川橋・朝倉 経由）,文珠通,伊野,18:08:30,19:14:00,平日_18時08分_系統6150
6仕業,鏡川橋,鏡川橋,ごめん（はりまや橋・文珠通・領石通 経由）,伊野,後免町,19:19:00,20:43:00,平日_19時19分_系統15013
6仕業,鏡川橋,鏡川橋,鏡川橋（はりまや橋 経由）,後免町,鏡川橋,21:05:00,21:58:00,平日_21時05分_系統1113
,,,,,,,,
7仕業,桟橋通四丁目,後免町,文珠通（はりまや橋 経由）,桟橋通四丁目,文珠通,06:02:30,06:30:00,平日_06時02分_系統17060
7仕業,桟橋通四丁目,後免町,いの（はりまや橋・鏡川橋・朝倉 経由）,文珠通,伊野,06:35:00,07:39:00,平日_06時35分_系統6150
7仕業,桟橋通四丁目,後免町,文珠通（はりまや橋 経由）,伊野,文珠通,07:44:00,08:45:00,平日_07時44分_系統15060
7仕業,桟橋通四丁目,後免町,いの（はりまや橋・鏡川橋・朝倉 経由）,文珠通,伊野,08:49:00,09:52:00,平日_08時49分_系統6150
7仕業,桟橋通四丁目,後免町,文珠通（はりまや橋 経由）,伊野,文珠通,09:59:00,10:57:30,平日_09時59分_系統15060
7仕業,桟橋通四丁目,後免町,いの（はりまや橋・鏡川橋・朝倉 経由）,文珠通,伊野,10:57:30,12:00:00,平日_10時57分_系統6150
7仕業,桟橋通四丁目,後免町,文珠通（はりまや橋 経由）,伊野,文珠通,12:05:00,13:05:00,平日_12時05分_系統15060
7仕業,桟橋通四丁目,後免町,鏡川橋（はりまや橋 経由）,文珠通,鏡川橋,13:15:00,13:49:30,平日_13時15分_系統6110
7仕業,桟橋通四丁目,後免町,文珠通（はりまや橋 経由）,鏡川橋,文珠通,14:01:30,14:35:00,平日_14時01分_系統11060
7仕業,桟橋通四丁目,後免町,朝倉（はりまや橋・鏡川橋 経由）,文珠通,朝倉,14:45:00,15:28:30,平日_14時45分_系統6130
7仕業,桟橋通四丁目,後免町,文珠通（はりまや橋 経由）,朝倉,文珠通,15:35:00,16:15:00,平日_15時35分_系統13060
7仕業,桟橋通四丁目,後免町,朝倉（はりまや橋・鏡川橋 経由）,文珠通,朝倉,16:15:00,16:58:30,平日_16時15分_系統6130
7仕業,桟橋通四丁目,後免町,文珠通（はりまや橋 経由）,朝倉,文珠通,17:07:00,17:50:00,平日_17時07分_系統13060
7仕業,桟橋通四丁目,後免町,鏡川橋（はりまや橋 経由）,文珠通,鏡川橋,17:51:00,18:26:30,平日_17時51分_系統6110
7仕業,桟橋通四丁目,後免町,ごめん（はりまや橋・文珠通・領石通 経由）,鏡川橋,後免町,18:33:30,19:33:00,平日_18時33分_系統11010
7仕業,桟橋通四丁目,後免町,鏡川橋（はりまや橋 経由）,後免町,鏡川橋,19:52:00,20:49:30,平日_19時52分_系統1110
7仕業,桟橋通四丁目,後免町,ごめん（はりまや橋・文珠通・領石通 経由）,鏡川橋,後免町,21:07:00,22:00:00,平日_21時07分_系統11010
,,,,,,,,
8仕業,桟橋通五丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,06:06:30,06:27:00,平日_06時06分_系統18160
8仕業,桟橋通五丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,06:33:30,06:51:30,平日_06時33分_系統16180
8仕業,桟橋通五丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,06:56:30,07:16:00,平日_06時56分_系統18160
8仕業,桟橋通五丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,07:23:00,07:41:00,平日_07時23分_系統16180
8仕業,桟橋通五丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,07:46:30,08:06:30,平日_07時46分_系統18160
8仕業,桟橋通五丁目,桟橋車庫前,枡形（はりまや橋 経由）,高知駅前,枡形,08:06:30,08:20:00,平日_08時06分_系統16090
8仕業,桟橋通五丁目,桟橋車庫前,高知駅（はりまや橋 経由）,枡形,高知駅前,08:26:30,08:39:30,平日_08時26分_系統9160
8仕業,桟橋通五丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,08:43:30,09:01:00,平日_08時43分_系統16180
8仕業,桟橋通五丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,09:04:00,09:23:00,平日_09時04分_系統18160
8仕業,桟橋通五丁目,桟橋車庫前,桟橋車庫（はりまや橋 経由）,高知駅前,桟橋車庫前,09:23:30,09:38:30,平日_09時23分_系統16170
,,,,,,,,
9仕業,桟橋通四丁目,桟橋車庫前,鏡川橋（はりまや橋 経由）,桟橋通四丁目,鏡川橋,06:12:30,06:41:30,平日_06時12分_系統17110
9仕業,桟橋通四丁目,桟橋車庫前,ごめん（はりまや橋・文珠通・領石通 経由）,鏡川橋,後免町,06:46:30,07:42:00,平日_06時46分_系統11010
9仕業,桟橋通四丁目,桟橋車庫前,鏡川橋（はりまや橋 経由）,後免町,鏡川橋,07:45:00,08:44:30,平日_07時45分_系統1110
9仕業,桟橋通四丁目,桟橋車庫前,文珠通（はりまや橋 経由）,鏡川橋,文珠通,08:49:00,09:22:30,平日_08時49分_系統11060
9仕業,桟橋通四丁目,桟橋車庫前,桟橋車庫（はりまや橋 経由）,文珠通,桟橋車庫前,09:25:00,09:48:30,平日_09時25分_系統6170
,,,,,,,,
10仕業,鏡川橋,鏡川橋,領石通（はりまや橋・文珠通 経由）,鏡川橋,領石通,06:14:00,06:56:30,平日_06時14分_系統11040
10仕業,鏡川橋,鏡川橋,鏡川橋（はりまや橋 経由）,領石通,鏡川橋,07:02:30,07:47:00,平日_07時02分_系統4110
10仕業,鏡川橋,鏡川橋,ごめん（はりまや橋・文珠通・領石通 経由）,鏡川橋,後免町,07:51:30,08:49:00,平日_07時51分_系統11010
10仕業,鏡川橋,鏡川橋,鏡川橋（はりまや橋 経由）,後免町,鏡川橋,09:00:00,09:57:00,平日_09時00分_系統1110
10仕業,鏡川橋,鏡川橋,ごめん（はりまや橋・文珠通・領石通 経由）,鏡川橋,後免町,10:11:30,11:07:00,平日_10時11分_系統11010
10仕業,鏡川橋,鏡川橋,いの（はりまや橋・鏡川橋・朝倉 経由）,後免町,伊野,11:14:30,12:42:00,平日_11時14分_系統1150
10仕業,鏡川橋,鏡川橋,文珠通（はりまや橋 経由）,伊野,文珠通,12:47:00,13:47:30,平日_12時47分_系統15060
10仕業,鏡川橋,鏡川橋,朝倉（はりまや橋・鏡川橋 経由）,文珠通,朝倉,14:00:00,14:43:30,平日_14時00分_系統6130
10仕業,鏡川橋,鏡川橋,文珠通（はりまや橋 経由）,朝倉,文珠通,14:50:00,15:30:00,平日_14時50分_系統13060
10仕業,鏡川橋,鏡川橋,朝倉（はりまや橋・鏡川橋 経由）,文珠通,朝倉,15:30:00,16:13:30,平日_15時30分_系統6130
10仕業,鏡川橋,鏡川橋,文珠通（はりまや橋 経由）,朝倉,文珠通,16:19:00,17:00:00,平日_16時19分_系統13060
10仕業,鏡川橋,鏡川橋,鏡川橋（はりまや橋 経由）,文珠通,鏡川橋,17:04:00,17:39:30,平日_17時04分_系統6110
10仕業,鏡川橋,鏡川橋,ごめん（はりまや橋・文珠通・領石通 経由）,鏡川橋,後免町,17:49:00,18:50:00,平日_17時49分_系統11010
10仕業,鏡川橋,鏡川橋,鏡川橋（はりまや橋 経由）,後免町,鏡川橋,19:08:00,20:06:30,平日_19時08分_系統1110
10仕業,鏡川橋,鏡川橋,ごめん（はりまや橋・文珠通・領石通 経由）,鏡川橋,後免町,20:06:30,21:02:00,平日_20時06分_系統11010
10仕業,鏡川橋,鏡川橋,鏡川橋（はりまや橋 経由）,後免町,鏡川橋,21:25:00,22:18:00,平日_21時25分_系統1110
,,,,,,,,
11仕業,後免町,桟橋車庫前,鏡川橋（はりまや橋 経由）,後免町,鏡川橋,06:17:30,07:14:30,平日_06時17分_系統1110
11仕業,後免町,桟橋車庫前,文珠通（はりまや橋 経由）,鏡川橋,文珠通,07:19:00,07:52:30,平日_07時19分_系統11060
11仕業,後免町,桟橋車庫前,鏡川橋（はりまや橋 経由）,文珠通,鏡川橋,07:57:30,08:31:30,平日_07時57分_系統6110
11仕業,後免町,桟橋車庫前,文珠通（はりまや橋 経由）,鏡川橋,文珠通,08:34:00,09:07:30,平日_08時34分_系統11060
11仕業,後免町,桟橋車庫前,桟橋車庫（はりまや橋 経由）,文珠通,桟橋車庫前,09:11:00,09:36:30,平日_09時11分_系統6170
,,,,,,,,
12仕業,桟橋通五丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,06:24:30,06:43:00,平日_06時24分_系統18160
12仕業,桟橋通五丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,06:48:30,07:06:00,平日_06時48分_系統16180
12仕業,桟橋通五丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,07:09:00,07:28:00,平日_07時09分_系統18160
12仕業,桟橋通五丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,07:33:30,07:51:00,平日_07時33分_系統16180
