仕業番号,仕業開始駅,仕業終了駅,便名,始発駅,終着駅,発時刻,着時刻,trip_id
4仕業,後免町,桟橋車庫前,桟橋車庫（はりまや橋 経由）,伊野,桟橋車庫前,14:49:00,15:46:30,土日祝_14時49分_系統15170
,,,,,,,,
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通四丁目,高知駅前,06:05:30,06:20:00,土日祝_06時05分_系統17160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,06:26:00,06:43:00,土日祝_06時26分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,06:46:30,07:06:00,土日祝_06時46分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,07:11:30,07:29:00,土日祝_07時11分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,07:31:30,07:51:00,土日祝_07時31分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,07:56:00,08:14:00,土日祝_07時56分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,08:16:30,08:36:00,土日祝_08時16分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,08:41:30,08:59:00,土日祝_08時41分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,09:04:00,09:23:30,土日祝_09時04分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,09:28:30,09:46:00,土日祝_09時28分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,09:49:00,10:08:30,土日祝_09時49分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,10:13:30,10:31:00,土日祝_10時13分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,10:34:00,10:53:30,土日祝_10時34分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,10:58:30,11:16:00,土日祝_10時58分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,11:19:00,11:38:30,土日祝_11時19分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,11:43:30,12:01:00,土日祝_11時43分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,12:04:00,12:23:30,土日祝_12時04分_系統18160
5仕業,桟橋通四丁目,桟橋車庫前,桟橋通五丁目（はりまや橋 経由）,高知駅前,桟橋通五丁目,12:28:30,12:46:00,土日祝_12時28分_系統16180
5仕業,桟橋通四丁目,桟橋車庫前,高知駅（はりまや橋 経由）,桟橋通五丁目,高知駅前,12:49:00,13:08:30,土日祝_12時49分_系統18160
